City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
263,Grindavik,IS,9.97,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
266,Carnarvon,AU,13.04,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
274,Berlevag,NO,10.0,overcast clouds,70.8578,29.0864,Kvitbrakka
275,Stratford-Upon-Avon,GB,17.26,overcast clouds,52.1917,-1.7073,DoubleTree by Hilton Stratford-upon-Avon
278,Thompson,CA,18.09,few clouds,55.7435,-97.8558,Burntwood Hotel
283,Torbay,CA,17.43,light rain,47.6666,-52.7314,Gallows Cove
284,Lagoa,PT,19.56,overcast clouds,39.05,-27.9833,Casa Das Faias
287,Logrono,ES,15.72,scattered clouds,42.4667,-2.45,Hotel Gran Vía Logroño
288,Esil,KZ,19.03,scattered clouds,51.9556,66.4042,Egorkino Hotel
290,Hofn,IS,10.38,overcast clouds,64.2539,-15.2082,Hótel Höfn
291,Bahia Blanca,AR,7.01,overcast clouds,-38.7196,-62.2724,Hotel Argos
296,Matao,BR,19.55,clear sky,-21.6033,-48.3658,Hotel Caiçara
298,Sovetskiy,RU,14.95,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
303,Vardo,NO,11.11,overcast clouds,70.3705,31.1107,Vardø Hotel AS
308,Izvoarele Sucevei,RO,11.9,scattered clouds,47.75,25.1833,Casa Adela
310,Diego De Almagro,CL,13.53,clear sky,-26.3667,-70.05,hotel luna del desierto
311,Lebu,CL,8.47,few clouds,-37.6167,-73.65,Hostal Las Lilas
312,Raudeberg,NO,12.33,broken clouds,61.9875,5.1352,Nordre Silda.
313,Mezen,RU,12.06,overcast clouds,65.8522,44.24,Gostevoy Domik
315,Moen,NO,12.4,broken clouds,69.1304,18.6123,Buktamo Eiendom AS
317,Andenes,NO,10.99,overcast clouds,69.3143,16.1194,Hotell Marena
321,San Juan,AR,6.84,clear sky,-31.5375,-68.5364,Hotel Provincial
322,Maun,BW,10.98,clear sky,-19.9833,23.4167,Enviro Villa
327,Moose Factory,CA,14.0,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
329,Studena,CZ,17.92,overcast clouds,49.1852,15.2869,Penzion Zeeman
330,Arusha,TZ,16.59,broken clouds,-3.3667,36.6833,Graceland Hotel
