,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Salinopolis,BR,-0.6136,-47.3561,26.0,82,13,3.18,few clouds
152,Teodoro Sampaio,BR,-22.5325,-52.1675,20.06,74,50,5.46,scattered clouds
153,Lincoln,US,40.8,-96.667,30.07,59,40,0.89,scattered clouds
154,Gidole,ET,5.65,37.3667,15.42,59,94,1.81,overcast clouds
155,Gaborone,BW,-24.6545,25.9086,10.95,30,0,2.57,clear sky
156,Dubai,AE,25.2582,55.3047,36.16,34,0,3.6,clear sky
157,Sarila,IN,25.7667,79.6833,33.11,52,20,3.12,few clouds
158,Rize,TR,40.9044,40.8949,11.45,89,52,0.78,broken clouds
159,Kutum,SD,14.2,24.6667,25.62,51,99,3.94,overcast clouds
160,Brae,GB,60.3964,-1.353,9.95,91,63,4.3,broken clouds
161,Opuwo,NA,-18.0607,13.84,13.8,34,3,0.61,clear sky
162,Ilulissat,GL,69.2167,-51.1,8.01,76,75,3.09,broken clouds
163,Sinop,TR,41.7711,34.8709,18.04,78,4,1.82,clear sky
164,Plettenberg Bay,ZA,-34.0527,23.3716,15.34,49,0,3.57,clear sky
165,Piacabucu,BR,-10.4056,-36.4344,22.58,78,42,3.76,scattered clouds
166,Jijiga,ET,9.35,42.8,18.56,68,69,5.16,broken clouds
167,Iqaluit,CA,63.7506,-68.5145,5.85,70,75,6.69,broken clouds
168,Verkhnyaya Inta,RU,65.9811,60.3094,5.85,77,31,2.48,scattered clouds
169,Codrington,AU,-38.2667,141.9667,5.72,91,1,3.13,clear sky
170,Vestmanna,FO,62.1564,-7.1664,8.51,100,90,2.57,overcast clouds
171,Butterworth,MY,5.3991,100.3638,26.67,92,20,1.34,few clouds
172,Narsaq,GL,60.9167,-46.05,13.12,88,100,2.53,overcast clouds
173,Balykshi,KZ,47.0667,51.8667,26.0,36,0,3.0,clear sky
174,Gazojak,TM,41.1875,61.4036,30.12,24,48,2.31,scattered clouds
175,Necochea,AR,-38.5473,-58.7368,8.35,78,100,7.28,light rain
176,Kruisfontein,ZA,-34.0033,24.7314,16.06,27,0,5.49,clear sky
177,Darnah,LY,32.767,22.6367,27.79,53,0,4.95,clear sky
178,Kargil,IN,34.5667,76.1,11.11,54,2,2.2,clear sky
179,Grand Haven,US,43.0631,-86.2284,27.53,76,90,4.12,overcast clouds
180,Belem De Sao Francisco,BR,-8.7539,-38.9658,24.06,49,76,5.2,broken clouds
181,Maunabo,PR,18.0072,-65.8993,30.36,79,86,3.82,overcast clouds
182,Namibe,AO,-15.1961,12.1522,20.06,64,45,3.15,scattered clouds
183,Mbanza-Ngungu,CD,-5.25,14.8667,21.81,70,41,2.27,scattered clouds
184,Aksarka,RU,66.5606,67.7975,7.05,79,81,5.37,broken clouds
