,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
695,Sao Felix Do Xingu,BR,-6.6447,-51.995,26.59,54,33,1.04,scattered clouds
696,Jaleswar,NP,26.6471,85.8008,27.39,84,96,2.72,overcast clouds
697,Maicao,CO,11.3832,-72.2432,30.83,58,80,3.12,broken clouds
698,Campo Verde,BR,-20.4167,-54.0667,18.56,47,9,4.68,clear sky
699,Berezovka,BY,53.7214,25.4993,14.64,96,1,2.4,clear sky
700,San-Pedro,CI,4.7485,-6.6363,23.69,94,100,2.23,moderate rain
701,Mahasamund,IN,21.1,82.1,28.32,73,96,2.52,overcast clouds
702,Gamba,GA,-2.65,10.0,22.58,88,100,1.99,overcast clouds
703,Chernukha,RU,55.5974,43.7556,20.93,93,8,1.13,clear sky
704,Gbarnga,LR,6.9956,-9.4722,22.15,99,100,0.77,light rain
