City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Asfi,MA,2021-06-26 16:38:02,32.2994,-9.2372,22.71,72,24,7.4
123,Chornoliztsi,UA,2021-06-26 16:38:04,48.8303,24.8958,25.1,61,20,2.0
124,Kemijarvi,FI,2021-06-26 16:38:05,66.7131,27.4306,14.33,66,76,3.06
125,Saint-Augustin,CA,2021-06-26 16:38:07,51.226,-58.6502,15.65,86,100,7.34
126,Sao Joao Da Barra,BR,2021-06-26 16:38:08,-21.6403,-41.0511,26.05,66,68,6.0
127,Marau,BR,2021-06-26 16:34:13,-28.4492,-52.2,22.56,71,97,5.63
128,Kavaratti,IN,2021-06-26 16:38:11,10.5669,72.642,28.44,70,11,6.15
129,Bolshoye Selo,RU,2021-06-26 16:38:12,57.7177,38.9334,21.44,89,90,2.11
130,Priiskovyy,RU,2021-06-26 16:38:13,51.9333,116.6333,17.75,85,84,0.23
131,Boralday,KZ,2021-06-26 16:38:15,43.3578,76.8594,19.92,40,75,2.0
132,Luderitz,NA,2021-06-26 16:38:16,-26.6481,15.1594,14.08,71,0,5.23
133,Comodoro Rivadavia,AR,2021-06-26 16:38:18,-45.8667,-67.5,6.92,57,40,5.66
134,Acandi,CO,2021-06-26 16:38:19,8.5063,-77.2778,29.08,73,98,1.97
135,Mahon,ES,2021-06-26 16:38:20,39.8885,4.2658,27.31,47,0,4.12
136,Los Llanos De Aridane,ES,2021-06-26 16:38:22,28.6585,-17.9182,20.62,75,75,5.14
137,Souillac,MU,2021-06-26 16:38:23,-20.5167,57.5167,21.21,88,75,6.69
138,San Cristobal,VE,2021-06-26 16:38:27,7.7669,-72.225,25.1,60,100,1.37
139,Mazagao,BR,2021-06-26 16:38:29,-0.115,-51.2894,33.03,62,57,2.6
140,Saldanha,ZA,2021-06-26 16:38:30,-33.0117,17.9442,15.03,71,68,2.3
141,Ferrol,ES,2021-06-26 16:38:32,43.4832,-8.2369,19.29,87,100,2.48
142,Cabinda,AO,2021-06-26 16:38:33,-5.55,12.2,26.08,73,75,3.6
143,Key West,US,2021-06-26 16:34:53,24.5557,-81.7826,30.56,74,1,4.63
144,Mezen,RU,2021-06-26 16:38:36,65.8522,44.24,13.19,74,99,3.13
145,Bushehr,IR,2021-06-26 16:38:37,28.9684,50.8385,33.05,62,0,6.17
146,Nereju,RO,2021-06-26 16:38:38,45.7167,26.7167,18.71,89,93,2.36
147,Azare,NG,2021-06-26 16:38:40,11.6765,10.1948,37.55,23,96,2.2
148,Maniitsoq,GL,2021-06-26 16:38:41,65.4167,-52.9,5.45,93,98,5.03
149,Caravelas,BR,2021-06-26 16:38:42,-17.7125,-39.2481,24.73,53,84,4.25
150,Saint Anthony,US,2021-06-26 16:38:44,45.0205,-93.218,23.96,74,1,3.09
151,Porto Novo,BJ,2021-06-26 16:38:45,6.4965,2.6036,23.9,92,100,3.38
152,Kristinehamn,SE,2021-06-26 16:38:46,59.3098,14.1081,24.17,70,85,1.98
153,Syracuse,IT,2021-06-26 16:34:11,37.0881,15.2792,37.56,61,48,2.21
154,Umm Lajj,SA,2021-06-26 16:38:49,25.0213,37.2685,30.51,53,0,3.54
155,Naantali,FI,2021-06-26 16:38:51,60.4674,22.0243,19.96,94,20,1.03
156,Iquique,CL,2021-06-26 16:38:52,-20.2208,-70.1431,17.02,67,48,3.61
157,Pathanamthitta,IN,2021-06-26 16:38:53,9.2667,76.7833,24.2,93,50,1.07
158,Ballymena,GB,2021-06-26 16:38:55,54.8636,-6.2763,16.13,71,100,3.41
159,Liverpool,GB,2021-06-26 16:38:56,53.4106,-2.9779,21.97,71,40,3.13
160,Vila Franca Do Campo,PT,2021-06-26 16:38:57,37.7167,-25.4333,20.23,93,63,6.67
161,San Pedro,PH,2021-06-26 16:38:59,14.35,121.0167,29.08,82,20,0.51
162,Mao,ES,2021-06-26 16:38:20,39.8885,4.2658,27.31,47,0,4.12
163,Passo De Camaragibe,BR,2021-06-26 16:39:03,-9.2368,-35.4901,27.75,57,64,3.56
164,Asti,IT,2021-06-26 16:39:04,44.8979,8.2068,29.81,45,67,2.45
165,Pangoa,PE,2021-06-26 16:39:06,-12.1167,-73.0,29.35,45,31,2.25
166,Igarka,RU,2021-06-26 16:39:07,67.4667,86.5833,8.08,66,55,6.67
167,Piacabucu,BR,2021-06-26 16:39:08,-10.4056,-36.4344,26.14,58,46,4.22
168,Grindavik,IS,2021-06-26 16:39:10,63.8424,-22.4338,13.64,67,0,9.26
169,Stornoway,GB,2021-06-26 16:39:11,58.2093,-6.3865,14.98,63,0,2.57
170,Berbera,SO,2021-06-26 16:39:13,10.4396,45.0143,33.59,41,78,2.69
171,Klaksvik,FO,2021-06-26 16:39:14,62.2266,-6.589,10.51,82,62,5.92
172,Bowmore,US,2021-06-26 16:39:15,34.9421,-79.3031,30.71,74,90,1.34
173,Moron,AR,2021-06-26 16:39:17,-34.6534,-58.6198,15.54,78,100,4.47
174,Sondrio,IT,2021-06-26 16:39:18,46.169,9.8692,29.2,72,73,1.48
175,Berkovica,BA,2021-06-26 16:39:19,44.6156,18.4294,28.17,66,18,1.99
176,Qasigiannguit,GL,2021-06-26 16:39:21,68.8193,-51.1922,9.14,77,100,2.5
177,Zelenogorskiy,RU,2021-06-26 16:39:22,55.0333,87.0,12.29,97,100,0.95
178,Clyde River,CA,2021-06-26 16:39:25,70.4692,-68.5914,3.13,93,90,9.77
179,Potoci,BA,2021-06-26 16:39:26,43.4086,17.8786,33.73,20,20,5.14
180,Faridpur,BD,2021-06-26 16:39:27,23.6,89.8333,30.0,86,31,4.8
181,Mochalishche,RU,2021-06-26 16:39:29,56.3306,48.3547,27.43,73,33,0.52
182,Ruhengeri,RW,2021-06-26 16:39:30,-1.4998,29.635,17.15,73,97,0.43
183,Kalat,PK,2021-06-26 16:39:32,29.0225,66.5916,22.68,14,7,2.52
184,Fomboni,KM,2021-06-26 16:39:33,-12.28,43.7425,25.48,64,0,3.67
185,Abalak,RU,2021-06-26 16:39:35,58.1286,68.5944,17.12,75,99,1.7
186,Sambek,RU,2021-06-26 16:39:36,47.7431,39.8308,28.6,79,74,4.01
187,Carnarvon,AU,2021-06-26 16:39:37,-24.8667,113.6333,18.64,47,91,4.61
188,Karasjok,NO,2021-06-26 16:39:39,69.4719,25.5112,11.06,51,99,2.02
189,Banyo,CM,2021-06-26 16:39:41,6.75,11.8167,21.96,86,60,1.67
190,Lima,PE,2021-06-26 16:35:55,-12.0432,-77.0282,21.61,75,90,2.06
191,Araouane,ML,2021-06-26 16:39:44,18.9048,-3.5265,42.7,10,51,3.25
192,Mayor Pablo Lagerenza,PY,2021-06-26 16:39:45,-19.9309,-60.7718,35.12,23,3,8.3
193,Cap-Aux-Meules,CA,2021-06-26 16:39:47,47.3821,-61.8597,22.03,83,75,5.14
194,Pampierstad,ZA,2021-06-26 16:39:48,-27.7832,24.6877,11.44,20,0,2.36
195,Antofagasta,CL,2021-06-26 16:39:49,-23.65,-70.4,15.6,68,91,4.54
196,Edd,ER,2021-06-26 16:39:51,13.9297,41.6925,32.06,63,65,1.81
197,Tiznit,MA,2021-06-26 16:39:52,29.5833,-9.5,26.55,39,0,4.01
198,Bajil,YE,2021-06-26 16:39:55,15.0584,43.2851,33.61,38,62,2.25
199,Perambalur,IN,2021-06-26 16:39:56,11.2333,78.8833,29.77,50,100,1.23
200,Cayenne,GF,2021-06-26 16:35:30,4.9333,-52.3333,31.02,72,40,1.79
201,Bandarbeyla,SO,2021-06-26 16:39:59,9.4942,50.8122,25.25,81,61,13.84
202,Havre-Saint-Pierre,CA,2021-06-26 16:40:00,50.2334,-63.5986,19.2,72,90,2.06
203,Tatarsk,RU,2021-06-26 16:40:01,55.219,75.9828,14.6,67,99,1.91
204,Itarema,BR,2021-06-26 16:40:05,-2.9248,-39.9167,28.46,64,35,4.39
205,Tulghes,RO,2021-06-26 16:40:07,46.95,25.7667,19.25,86,50,0.37
206,Dedougou,BF,2021-06-26 16:40:10,12.4667,-3.4667,35.87,30,45,2.75
207,Trinidad,BO,2021-06-26 16:40:11,-14.8333,-64.9,30.99,58,75,5.66
208,Bubaque,GW,2021-06-26 16:40:12,11.2833,-15.8333,27.14,80,90,7.3
209,Japura,ID,2021-06-26 16:40:14,-0.3167,102.35,23.73,94,66,1.23
210,Anderson,US,2021-06-26 16:40:15,34.5334,-82.6499,28.61,76,40,0.45
211,Trelew,AR,2021-06-26 16:40:17,-43.249,-65.3051,7.45,54,47,10.92
212,Paamiut,GL,2021-06-26 16:40:18,61.994,-49.6678,6.18,98,97,4.83
213,Vestmannaeyjar,IS,2021-06-26 16:40:19,63.4427,-20.2734,10.36,81,0,6.01
214,Yavoriv,UA,2021-06-26 16:40:21,49.9386,23.3825,23.46,86,45,3.74
215,Castro,BR,2021-06-26 16:40:22,-24.7911,-50.0119,22.48,57,75,4.34
216,Clonakilty,IE,2021-06-26 16:40:23,51.6231,-8.8706,16.72,79,92,6.23
217,Tabuk,PH,2021-06-26 16:40:25,17.4189,121.4443,24.22,89,90,0.32
218,Akonolinga,CM,2021-06-26 16:40:26,3.7667,12.25,24.06,78,84,1.79
219,Raudeberg,NO,2021-06-26 16:40:28,61.9875,5.1352,11.78,92,100,2.18
220,Nardaran,AZ,2021-06-26 16:40:29,40.5561,50.0056,28.8,58,0,3.09
221,Boende,CD,2021-06-26 16:40:30,-0.2167,20.8667,28.85,51,65,0.74
222,Biloxi,US,2021-06-26 16:39:22,30.396,-88.8853,30.58,66,20,7.72
223,Muros,ES,2021-06-26 16:40:34,42.7762,-9.0603,21.72,69,100,6.55
224,Mahdalynivka,UA,2021-06-26 16:40:35,48.921,34.9156,29.31,71,31,2.5
225,Sept-Iles,CA,2021-06-26 16:37:49,50.2001,-66.3821,17.29,84,90,2.24
226,Taoudenni,ML,2021-06-26 16:40:38,22.6783,-3.9836,46.17,5,4,3.73
227,Nizip,TR,2021-06-26 16:40:39,37.0097,37.7942,33.07,23,75,6.58
228,Talnakh,RU,2021-06-26 16:40:41,69.4865,88.3972,8.17,62,99,6.98
229,Harper,LR,2021-06-26 16:40:42,4.375,-7.7169,26.07,84,100,2.9
230,Muisne,EC,2021-06-26 16:40:44,0.6,-80.0333,26.06,82,100,4.51
231,Salinopolis,BR,2021-06-26 16:40:45,-0.6136,-47.3561,28.1,72,31,3.93
232,Thohoyandou,ZA,2021-06-26 16:40:46,-22.9456,30.485,20.25,24,0,2.53
233,Sao Lourenco Do Sul,BR,2021-06-26 16:40:49,-31.3653,-51.9783,15.03,98,100,2.88
